geoid,2018, total_count, total_count (/10K pop), total_Case fatality rate, total_deaths, total_deaths (/10K pop)
13175,4,8467,1785.61,0.99,84,17.71
13177,1,31094,10594.93,6.13,1905,649.11
13179,2,5828,938.37,0.57,33,5.31
13181,4,1507,1932.3,2.19,33,42.31
13183,4,1281,705.55,3.51,45,24.79
13185,4,36039,3145.26,1.15,416,36.31
13187,1,7100,2222.15,1.46,104,32.55
13189,4,5315,2472.32,7.41,394,183.27
13191,4,1247,883.14,2.89,36,25.5
13193,4,7704,5715.13,5.8,447,331.6
13195,1,4107,1421.11,3.77,155,53.63
13197,4,4320,5091.94,3.1,134,157.94
13199,4,7978,3778.71,1.5,120,56.84
13201,4,3220,5517.48,0.0,0,0.0
13205,4,31853,14199.8,8.65,2754,1227.71
13207,1,7487,2771.94,9.32,698,258.42
13209,4,1001,1107.79,0.0,0,0.0
13211,1,3032,1662.74,0.0,0,0.0
13213,1,7649,1933.67,0.98,75,18.96
13215,4,58952,2997.51,2.78,1638,83.29
13217,4,28119,2640.36,2.72,766,71.93
13219,2,8564,2313.53,4.61,395,106.71
13221,1,5083,3438.18,8.36,425,287.47
13223,1,26766,1717.53,3.35,897,57.56
13225,4,6002,2225.77,6.66,400,148.33
13227,1,4085,1324.92,7.15,292,94.71
13229,1,8272,4316.43,3.49,289,150.8
13231,1,4680,2588.21,4.1,192,106.18
13233,1,9462,2273.37,0.44,42,10.09
13235,4,3141,2780.88,4.2,132,116.87
13237,0,6688,3110.26,9.21,616,286.47
13239,4,843,3703.87,9.61,81,355.89
13241,0,1846,1121.71,6.18,114,69.27
13243,4,15073,21268.52,11.09,1671,2357.84
13245,4,47446,2355.07,4.48,2127,105.58
13247,4,23929,2688.32,2.87,686,77.07
13249,4,1565,3003.26,5.75,90,172.71
13251,4,3492,2496.07,5.96,208,148.68
13253,4,3409,4040.54,4.75,162,192.01
13255,4,22352,3453.7,6.86,1533,236.87
13257,1,10249,3991.67,2.14,219,85.29
13259,4,4354,7206.22,1.42,62,102.62
13261,4,38518,12690.43,8.26,3183,1048.7
13263,4,3212,5036.06,3.92,126,197.55
13265,4,86,516.52,0.0,0,0.0
13267,4,3110,1226.68,0.0,0,0.0
13269,4,1806,2204.32,9.91,179,218.48
13271,4,3585,2224.64,2.32,83,51.5
13273,4,17524,19781.01,11.44,2005,2263.24
13275,4,24515,5480.66,9.05,2218,495.86
13277,4,24767,6113.8,4.72,1168,288.32
13279,4,6795,2512.2,4.77,324,119.79
13281,0,2140,1874.4,3.18,68,59.56
13283,4,864,1274.9,1.97,17,25.08
13285,4,39519,5663.86,2.74,1084,155.36
13287,4,9323,11709.37,10.02,934,1173.07
13289,4,1201,1449.78,2.91,35,42.25
13291,0,3516,1543.8,3.87,136,59.71
13293,4,22369,8532.58,10.85,2426,925.39
13295,1,11900,1729.05,1.36,162,23.54
13297,1,18833,2089.49,5.78,1088,120.71
13299,4,18515,5200.99,5.68,1051,295.23
13301,4,1407,2631.87,0.0,0,0.0
13303,4,5506,2690.97,1.45,80,39.1
13305,4,2167,727.99,0.0,0,0.0
13307,4,1057,4045.16,8.51,90,344.43
13309,4,1353,1704.24,0.0,0,0.0
13311,0,7735,2673.88,2.35,182,62.91
13313,3,32559,3135.23,1.86,606,58.35
13315,4,8173,9239.2,11.44,935,1056.97
13317,4,2767,2799.47,1.92,53,53.62
13319,4,4529,4988.98,8.32,377,415.29
13321,4,18257,8838.59,7.66,1398,676.8
15001,2,6728,340.39,0.0,0,0.0
15003,2,42376,429.06,2.14,906,9.17
15007,2,2215,310.32,0.0,0,0.0
15009,2,10459,632.8,4.57,478,28.92
16001,2,84992,1905.43,1.99,1689,37.87
16003,0,385,957.95,0.0,0,0.0
16005,1,3284,386.06,1.04,34,4.0
16007,0,9,15.1,0.0,0,0.0
16009,0,697,767.11,0.0,0,0.0
16011,1,1259,276.39,0.24,3,0.66
16013,2,47956,21804.13,0.98,468,212.79
16015,0,30,41.88,0.0,0,0.0
16017,0,744,174.19,0.0,0,0.0
16019,1,4557,405.44,0.46,21,1.87
16021,1,9,7.79,0.0,0,0.0
16023,0,0,0.0,0.0,0,0.0
16025,0,96,1083.52,0.0,0,0.0
16027,3,31480,1483.3,1.7,536,25.26
16029,1,338,488.58,0.0,0,0.0
16031,3,6587,2789.33,1.46,96,40.65
16033,3,0,0.0,0.0,0,0.0
16035,0,12,13.89,0.0,0,0.0
16037,0,221,533.69,0.0,0,0.0
16039,2,2979,1127.0,4.93,147,55.61
16041,1,603,454.1,0.0,0,0.0
16043,0,309,238.33,0.0,0,0.0
16045,1,1461,856.79,0.0,0,0.0
16047,3,3032,1998.81,0.46,14,9.23
16049,0,297,181.8,0.0,0,0.0
16051,1,777,277.81,0.0,0,0.0
16053,3,11513,4913.58,1.83,211,90.05
16055,1,8583,558.77,0.2,17,1.11
16057,2,637,162.34,0.0,0,0.0
16059,0,91,116.7,0.0,0,0.0
16061,0,0,0.0,0.0,0,0.0
16063,3,2596,4878.78,0.0,0,0.0
16065,2,1829,472.55,0.0,0,0.0
16067,3,4907,2380.31,0.0,0,0.0
16069,1,6401,1594.07,23.31,1492,371.56
16071,1,19,43.92,0.0,0,0.0
16073,3,1119,976.87,0.0,0,0.0
16075,1,2649,1149.69,5.59,148,64.23
16077,3,558,723.45,0.0,0,0.0
16079,0,3,2.4,0.0,0,0.0
16081,2,1022,922.38,0.0,0,0.0
16083,1,30055,3592.26,5.06,1521,181.79
16085,0,322,309.59,0.0,0,0.0
16087,0,3113,3105.24,0.06,2,2.0
17001,1,4063,611.65,1.6,65,9.79
17003,4,852,1304.35,0.0,0,0.0
17005,1,840,502.63,9.52,80,47.87
17007,1,28019,5226.84,4.19,1175,219.19
17009,1,587,879.4,0.0,0,0.0
17011,1,1418,424.79,4.65,66,19.77
17013,0,91,187.32,0.0,0,0.0
17015,1,1205,827.5,14.27,172,118.12
17017,1,5308,4191.08,0.43,23,18.16
17019,2,40798,1947.88,1.55,632,30.17
17021,1,3082,927.45,14.6,450,135.42
17023,1,807,509.6,0.0,0,0.0
17025,1,158,118.46,0.0,0,0.0
17027,1,13320,3539.92,7.28,970,257.79
17029,1,7520,1453.53,9.93,747,144.39
17031,2,5377080,10293.59,4.68,251460,481.38
17033,1,1017,532.8,0.0,0,0.0
17035,1,656,603.77,0.0,0,0.0
17037,2,26716,2563.92,2.22,593,56.91
17039,1,318,198.23,0.0,0,0.0
17041,1,2397,1215.89,0.0,0,0.0
17043,2,513587,5512.11,5.04,25906,278.04
17045,1,159,90.66,0.0,0,0.0
17047,1,106,162.9,0.0,0,0.0
17049,1,619,181.13,14.05,87,25.46
17051,1,1639,754.47,12.08,198,91.14
17053,1,1483,1106.88,6.0,89,66.43
17055,1,950,242.8,0.0,0,0.0
17057,1,689,194.53,0.29,2,0.56
17059,0,173,335.47,0.0,0,0.0
17061,0,422,319.26,0.0,0,0.0
17063,1,7446,1474.19,1.8,134,26.53
17065,1,176,214.09,0.0,0,0.0
17067,1,1055,582.49,3.13,33,18.22
